class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
Takbir,0,0,0,-0.006072283,0.010335568,-0.024487644,-0.010014147,0.00935996,-0.02449666,-0.013698876,0.008271132,-0.024462998,0.00583604,0.010969047,-0.028723031,0.009987265,0.010108594,-0.028724566,0.014107794,0.009151403,-0.028750286,-0.020730257,-0.004430294,-0.143897226,0.019331604,-0.003568411,-0.163889405,-0.008791506,-0.018435743,-0.041956283,0.006954104,-0.016572714,-0.047234289,-0.055480301,-0.095574554,-0.188186387,0.046684265,-0.09739561,-0.21653742,-0.112576932,-0.164196949,-0.045275308,0.102520376,-0.154851567,-0.076478988,-0.081671864,-0.06511211,0.1036046,0.074005306,-0.054411184,0.112404153,-0.072713822,-0.036412258,0.14132683,0.07041958,-0.029220995,0.158435956,-0.068945915,-0.033346947,0.118384168,0.065684378,-0.028267678,0.136240318,-0.068532437,-0.043649118,0.098552749,0.062581062,-0.03692523,0.110683516,-0.034148276,-0.314848419,-0.146795806,0.028517991,-0.312801655,-0.169428125,-0.044350207,-0.48625144,-0.155100914,0.03714323,-0.489042964,-0.17519005,-0.04483375,-0.652854707,-0.324615732,0.037920982,-0.658862438,-0.333410412,-0.037946284,-0.676559892,-0.333901167,0.030948907,-0.681573596,-0.341825902,-0.059583098,-0.70078012,-0.189067479,0.052449733,-0.705191102,-0.199248269
Takbir,0,0,0,-0.00582096,0.009790218,-0.026075721,-0.009719193,0.008841002,-0.0260939,-0.013608098,0.007743012,-0.026035309,0.005902529,0.010366445,-0.029570431,0.009960741,0.00954476,-0.029570952,0.014166683,0.008604487,-0.029616237,-0.020584494,-0.004848622,-0.157932529,0.019438505,-0.004217673,-0.173839584,-0.008851439,-0.017923713,-0.045696065,0.00688681,-0.016439375,-0.050092056,-0.055762917,-0.092366237,-0.214206565,0.046517521,-0.09695645,-0.225987397,-0.112497449,-0.164852936,-0.063289359,0.102492452,-0.157115806,-0.080192074,-0.082280099,-0.066550154,0.102150232,0.075383812,-0.055019993,0.114158481,-0.072999895,-0.038236272,0.143129319,0.072326601,-0.029867295,0.163752913,-0.069273591,-0.034846891,0.120169997,0.067876458,-0.028816644,0.143314153,-0.068924248,-0.044598121,0.097815841,0.065206498,-0.037267495,0.11273551,-0.034474283,-0.315323923,-0.151414477,0.028241992,-0.3128292,-0.161242789,-0.045128971,-0.488814387,-0.154403709,0.036653399,-0.489849124,-0.159708738,-0.045651168,-0.653586064,-0.353541002,0.037801772,-0.659113202,-0.346630931,-0.037872046,-0.677481804,-0.365845188,0.030674934,-0.682235513,-0.3579624,-0.059954882,-0.701332603,-0.203612588,0.050976157,-0.707035277,-0.200518955
Takbir,0,0,0,-0.00542596,0.009380113,-0.026897565,-0.009216785,0.008475387,-0.026919901,-0.013294876,0.007385734,-0.026857391,0.006096512,0.00984804,-0.029902682,0.010130286,0.009011477,-0.029898308,0.014274567,0.008066891,-0.029949084,-0.020274758,-0.005119812,-0.158131973,0.019701689,-0.004777893,-0.172717046,-0.008935302,-0.017434176,-0.045759156,0.006786883,-0.016410094,-0.049663208,-0.056000948,-0.091068305,-0.210448425,0.0465132,-0.096741609,-0.221687853,-0.111312687,-0.164851673,-0.056317411,0.103386879,-0.15864899,-0.074267268,-0.082800686,-0.067283973,0.110158682,0.076184213,-0.054960556,0.116864204,-0.073509276,-0.039118841,0.152404755,0.073240012,-0.030103788,0.169443607,-0.069793046,-0.035496615,0.12927568,0.068880975,-0.028794363,0.148262113,-0.069445491,-0.045132682,0.105881363,0.066501051,-0.037002549,0.116030395,-0.034999728,-0.315770157,-0.145630676,0.02772069,-0.313100763,-0.151055577,-0.045766234,-0.490378238,-0.150345529,0.035778761,-0.490517713,-0.149437791,-0.046182185,-0.65367005,-0.352998406,0.037448615,-0.659256972,-0.338469595,-0.037755013,-0.677815057,-0.365485832,0.030195057,-0.682070591,-0.349672914,-0.059871525,-0.701854564,-0.207292117,0.049516916,-0.708612837,-0.193603255
Takbir,0,0,0,-0.005125731,0.009342289,-0.026561826,-0.008775383,0.00849369,-0.026585601,-0.012853771,0.007459011,-0.026522525,0.006151527,0.009736091,-0.029860705,0.010143876,0.008893667,-0.029853486,0.014277458,0.007942325,-0.02990298,-0.01962924,-0.004806165,-0.157384971,0.019777536,-0.004897468,-0.173832644,-0.008825898,-0.017265942,-0.045893013,0.006679058,-0.016415555,-0.050260179,-0.056154639,-0.090129655,-0.21050863,0.046469778,-0.096236255,-0.22380884,-0.111246765,-0.164974149,-0.055092879,0.103214741,-0.159262266,-0.074785993,-0.083147705,-0.067743104,0.112274155,0.076547176,-0.054622892,0.118065134,-0.073705375,-0.039681535,0.157324716,0.073499084,-0.030011635,0.171365902,-0.070112586,-0.035735976,0.1343918,0.069340765,-0.028436419,0.149974898,-0.069788992,-0.045243476,0.108555034,0.067122042,-0.036461119,0.117166087,-0.035165668,-0.315493923,-0.14523187,0.027553171,-0.312550347,-0.149788494,-0.046036303,-0.490722071,-0.149252453,0.03520903,-0.490726363,-0.14557411,-0.046534508,-0.652881097,-0.355428234,0.037219197,-0.659357678,-0.339757666,-0.037943721,-0.677335393,-0.368411958,0.029982269,-0.682146978,-0.351376489,-0.059355319,-0.701110136,-0.207402471,0.048174381,-0.708926808,-0.193129081
Takbir,0,0,0,-0.005062342,0.009319199,-0.027209096,-0.008745611,0.008471375,-0.027236193,-0.012823761,0.007439736,-0.027169459,0.006162167,0.009663366,-0.029718354,0.010152668,0.008772146,-0.029711738,0.014276266,0.007788111,-0.029765382,-0.019567579,-0.004764285,-0.161232194,0.019818217,-0.004992161,-0.173779786,-0.0088301,-0.017168995,-0.047182724,0.00666976,-0.016412381,-0.050508142,-0.056058735,-0.089993142,-0.215857908,0.0465841,-0.096064962,-0.223764353,-0.110537022,-0.165089838,-0.060747884,0.103350073,-0.159672402,-0.076425217,-0.083284885,-0.068358652,0.11211279,0.076640457,-0.05444181,0.115451664,-0.073730379,-0.040322348,0.158935487,0.07346946,-0.029973432,0.169382423,-0.070242733,-0.036088705,0.135691613,0.069297373,-0.028338782,0.14863047,-0.069991082,-0.045329742,0.108578563,0.067145675,-0.036243208,0.115104765,-0.035187751,-0.314814724,-0.138062459,0.027544022,-0.311901934,-0.140666898,-0.046916187,-0.49115897,-0.14017619,0.035203934,-0.490768917,-0.131860162,-0.046927154,-0.652671047,-0.341472432,0.03727451,-0.659669764,-0.331267729,-0.037863821,-0.677184232,-0.353886023,0.030043125,-0.682408877,-0.341411158,-0.059360355,-0.701134868,-0.194244258,0.048186988,-0.709517129,-0.177988194
Takbir,0,0,0,-0.005009562,0.009361284,-0.027111426,-0.008740634,0.008463766,-0.027136415,-0.012809664,0.007384941,-0.027070746,0.006205022,0.009731637,-0.029098466,0.010191143,0.008873509,-0.029088706,0.014339775,0.007857382,-0.029134147,-0.019469261,-0.004761659,-0.159098879,0.019936264,-0.005080119,-0.169071145,-0.008779645,-0.017211549,-0.046328299,0.006757915,-0.016467657,-0.048892677,-0.055912077,-0.090331625,-0.211017922,0.04680863,-0.096044209,-0.215168886,-0.109942198,-0.165427592,-0.055140927,0.103464305,-0.160156827,-0.070148341,-0.083169758,-0.068665002,0.118170291,0.076982647,-0.05475473,0.11582233,-0.073256731,-0.040886473,0.164968252,0.073881447,-0.030157048,0.168180287,-0.069729686,-0.036645938,0.141207755,0.069653124,-0.028371114,0.14829725,-0.069616973,-0.045715231,0.114487693,0.067421317,-0.036284145,0.115488648,-0.035148203,-0.314967986,-0.133000459,0.027678847,-0.312000986,-0.130896431,-0.04682833,-0.492257919,-0.132637884,0.035392463,-0.491059031,-0.122041491,-0.046665907,-0.652827825,-0.332780182,0.037917763,-0.659750309,-0.323649928,-0.036611438,-0.67748883,-0.345369443,0.030356169,-0.682460334,-0.332551956,-0.059885472,-0.701215055,-0.187936701,0.048344493,-0.70974448,-0.170524228
Takbir,0,0,0,-0.004981995,0.009397222,-0.027055047,-0.008750647,0.008463724,-0.02707909,-0.012814909,0.007352285,-0.027014397,0.006230533,0.009782692,-0.028958961,0.010216624,0.008942418,-0.028948307,0.014383405,0.007906117,-0.028991722,-0.019413918,-0.004752003,-0.1586171,0.020014673,-0.005100932,-0.167980645,-0.008746237,-0.017237455,-0.046125077,0.006820828,-0.016498525,-0.048545063,-0.055800021,-0.090513956,-0.209846973,0.046970159,-0.095992949,-0.212755337,-0.109525472,-0.165651347,-0.052680589,0.103535056,-0.160488095,-0.068033282,-0.083099753,-0.06887022,0.121635243,0.077200353,-0.054969158,0.117648035,-0.0730097,-0.041236687,0.167627051,0.074143976,-0.030263159,0.169655576,-0.069465011,-0.036999296,0.144002274,0.069882005,-0.028360855,0.149910465,-0.069419116,-0.045960072,0.117864206,0.067593098,-0.036286924,0.117322966,-0.035146087,-0.315024298,-0.131378071,0.027761966,-0.312023204,-0.127385362,-0.046777695,-0.492940407,-0.129808629,0.035516411,-0.491243821,-0.118533809,-0.04648453,-0.652957004,-0.329541892,0.038318068,-0.659773629,-0.320898056,-0.035816878,-0.677734058,-0.342195749,0.030541122,-0.682451647,-0.328967825,-0.060300976,-0.701244514,-0.185446594,0.048450917,-0.70984314,-0.167899653
Takbir,0,0,0,-0.004785955,0.009419894,-0.024480164,-0.008583128,0.008515315,-0.024497129,-0.012568325,0.007445481,-0.024445161,0.006361187,0.009717152,-0.029112473,0.010394633,0.00884998,-0.029098988,0.014597952,0.007786985,-0.029111326,-0.019034684,-0.004569747,-0.154726431,0.020400614,-0.005218845,-0.164673593,-0.008605182,-0.017170101,-0.042229779,0.006835639,-0.016576331,-0.046509296,-0.055421352,-0.09034048,-0.208980314,0.047400802,-0.095525131,-0.211686954,-0.109173894,-0.165785968,-0.051254272,0.103928745,-0.160816714,-0.066733882,-0.082707167,-0.069004677,0.124281973,0.077676982,-0.055108994,0.121157229,-0.072445631,-0.041674457,0.172731817,0.074609697,-0.030392036,0.177129179,-0.068997741,-0.037406638,0.148353964,0.070472807,-0.028480411,0.158193409,-0.069010615,-0.046167769,0.120651275,0.068212897,-0.036399819,0.121819109,-0.034756571,-0.31513162,-0.13142375,0.028183222,-0.312102184,-0.128128276,-0.046406329,-0.493040219,-0.130389347,0.035581738,-0.49153401,-0.120497068,-0.046160638,-0.653098896,-0.338138223,0.038223505,-0.65998365,-0.323671564,-0.035459667,-0.677963093,-0.351244301,0.030723274,-0.682788566,-0.334456772,-0.059166521,-0.701610163,-0.188165504,0.048305571,-0.709973589,-0.170670994
Takbir,0,0,0,-0.004684627,0.009436036,-0.023012266,-0.00850305,0.008544883,-0.023027211,-0.012436062,0.007498799,-0.022980899,0.006419629,0.009682149,-0.028887279,0.010484934,0.008800171,-0.028871268,0.01470837,0.007727288,-0.028864212,-0.018808603,-0.004457671,-0.15410131,0.02063328,-0.005274802,-0.163503584,-0.008523613,-0.017132819,-0.040567651,0.00684306,-0.016613878,-0.045276329,-0.055205524,-0.090150837,-0.209146291,0.047690183,-0.095260743,-0.212046415,-0.108956188,-0.165853266,-0.051118009,0.10417524,-0.161065999,-0.066424981,-0.082467169,-0.069069978,0.125250608,0.077966362,-0.055181969,0.121506244,-0.07209602,-0.041946542,0.174204111,0.074898571,-0.030453455,0.179113328,-0.068718165,-0.037666548,0.149650544,0.07084775,-0.028535578,0.160272211,-0.068764359,-0.046292726,0.121647984,0.068600267,-0.036452021,0.122746527,-0.034517556,-0.3151743,-0.131928602,0.028465271,-0.312119294,-0.12923347,-0.046179205,-0.493071396,-0.13119977,0.035612792,-0.491707761,-0.122089857,-0.045982867,-0.653162677,-0.340407133,0.038117319,-0.660145659,-0.325163752,-0.03524065,-0.678054709,-0.353497148,0.030791432,-0.683041055,-0.336710632,-0.05828318,-0.701813478,-0.189300038,0.048195422,-0.710031886,-0.17279838
Takbir,0,0,0,-0.004555941,0.008935265,-0.025217578,-0.008342028,0.008183617,-0.025234953,-0.012242168,0.007243333,-0.025178537,0.006522298,0.009007227,-0.029233158,0.010551363,0.008191945,-0.029223993,0.014754742,0.00711379,-0.029247463,-0.018548369,-0.004866503,-0.157804083,0.020820737,-0.006695103,-0.167682759,-0.008442521,-0.016828064,-0.043468311,0.006800383,-0.016577128,-0.047227517,-0.054960966,-0.091302354,-0.210077748,0.047899902,-0.096846599,-0.217374697,-0.108651817,-0.167451028,-0.05388283,0.104382396,-0.163231347,-0.071212061,-0.082260191,-0.070987102,0.121011108,0.078328103,-0.057235081,0.119076759,-0.071793854,-0.043894727,0.169692367,0.075205117,-0.032279428,0.17635563,-0.068457723,-0.039397765,0.145333856,0.071170777,-0.030373912,0.157675624,-0.068522274,-0.04793163,0.117299318,0.068926781,-0.038223419,0.119552344,-0.034160942,-0.316253353,-0.135123092,0.028728694,-0.313152242,-0.132604005,-0.045811683,-0.494555581,-0.134465901,0.035818785,-0.493560124,-0.12631238,-0.046154052,-0.654869366,-0.340416402,0.038339913,-0.661965717,-0.327063203,-0.035488129,-0.67983662,-0.353067771,0.030997515,-0.684993435,-0.338380188,-0.058111072,-0.703386832,-0.19186135,0.048360586,-0.711648811,-0.175771758
